村卫用坚守大剑	村卫用防卫大剑I
霆剑电龙	啼剑电龙・改
灼炎大刀I	破坏者大剑I
灼炎大刀II	灼炎大刀I
深红角龙大刀	灼炎大刀II
炼狱角龙大刀	深红角龙大刀
炼狱角龙大刀・改	炼狱角龙大刀
深红角龙之血	炼狱角龙大刀・改
避役大剑I	破坏者大剑I
避役大剑II	避役大剑I
毒妖喉剑	避役大剑II
毒妖喉剑・改	毒妖喉剑
毒妖大剑地狱变色龙	毒妖喉剑・改
毒妖大剑地狱变色龙・改	毒妖大剑地狱变色龙
冰凌白牙I	钢剑
冰凌白牙II	冰凌白牙I
断海冰牙	冰凌白牙II
冻结冰牙	断海冰牙
冻结冰牙・改	冻结冰牙
暴雪巨牙	冻结冰牙・改
冷月断剑	冻结冰牙
冷月断剑・改	冷月断剑
冰镜圆月断	冷月断剑・改
伞巨刃I	钢剑
伞巨刃II	伞巨刃I
晓之大剑刃骑	伞巨刃II
晓月大剑骁勇	晓之大剑刃骑
晓月大剑骁勇・改	晓月大剑骁勇
晓光大剑荣光	晓月大剑骁勇・改
伏身撞I	钢剑
伏身撞II	伏身撞I
蛙式・伏身撞	伏身撞II
蛙式・伏身撞改	蛙式・伏身撞
真蛙式・伏身撞	蛙式・伏身撞改
真蛙式・伏身撞改	真蛙式・伏身撞
斩骨大剑	骨刃I
龙颚I	斩骨大剑
巨颚	龙颚I
龙牙剑I	巨颚
亢龙牙剑	龙牙剑I
亢龙牙剑・改	亢龙牙剑
光龙颚剑	亢龙牙剑・改
光龙颚剑・改	光龙颚剑
赤钳剑	亢龙牙剑
赤钳剑・改	赤钳剑
大钳剑	赤钳剑・改
将军镰蟹之刃	赤钳剑
将军镰蟹之刃・改	将军镰蟹之刃
切割之刃	将军镰蟹之刃・改
巨骨剑I	巨颚
刚剑塔罗斯	巨骨剑I
刚剑塔罗斯・改	刚剑塔罗斯
刚断剑深渊	刚剑塔罗斯・改
刚断剑深渊・改	刚断剑深渊
大剑参宿七	刚剑塔罗斯・改
大剑参宿七・改	大剑参宿七
叛断刀参宿七	大剑参宿七・改
女武神骨剑I	巨骨剑I
女武神骨剑II	女武神骨剑I
齐格琳德王后	女武神骨剑II
齐格琳德王后・改	齐格琳德王后
高贵齐格琳德王后	齐格琳德王后・改
高贵齐格琳德王后・改	高贵齐格琳德王后
蔷薇刺板	齐格琳德王后・改
蔷薇刺板・改	蔷薇刺板
蔷薇威力	蔷薇刺板・改
仙人掌技艺	蔷薇刺板
泥磨巨刃I	巨骨剑I
泥磨巨刃II	泥磨巨刃I
沼泽巨刃	泥磨巨刃II
沼泽巨刃・改	沼泽巨刃
泥沼之鳞	沼泽巨刃・改
泥沼之鳞・改	泥沼之鳞
赤翼I	泥磨巨刃I
赤翼II	赤翼I
火龙大剑	赤翼II
火龙大剑・改	火龙大剑
吼剑火龙	火龙大剑・改
辉剑火龙	火龙大剑・改
争执角I	巨颚
争执角II	争执角I
争斗角	争执角II
争斗角・改	争斗角
刚角剑角龙	争斗角・改
刚角剑角龙・改	刚角剑角龙
狗龙大剑I	斩骨大剑
狗龙大剑II	狗龙大剑I
野蛮大剑	狗龙大剑II
野蛮大剑・改	野蛮大剑
阿瓦隆大剑	野蛮大剑・改
炎羽大剑I	狗龙大剑II
炎羽大剑II	炎羽大剑I
蛮颚炎羽大剑	炎羽大剑II
蛮颚炎羽大剑・改	蛮颚炎羽大剑
兵器蛮炎大剑	蛮颚炎羽大剑・改
兵器蛮炎大剑・改	兵器蛮炎大剑
王大剑风雷I	狗龙大剑II
王大剑风雷II	王大剑风雷I
王牙大剑【黑雷】	王大剑风雷II
王牙大剑【黑雷】改	王牙大剑【黑雷】
真・王牙大剑【一天】	王牙大剑【黑雷】改
暴雨大剑I	斩骨大剑
暴雨大剑II	暴雨大剑I
暴雨巨刃	暴雨大剑II
暴雨巨刃・改	暴雨巨刃
暴雨水兽斩刃	暴雨巨刃・改
暴雨水兽斩刃・改	暴雨水兽斩刃
刚缠大剑	暴雨巨刃・改
刚缠大剑・改	刚缠大剑
巨块大剑癸干忒斯	刚缠大剑・改
白兔裹雪剑I	骨刃I
白兔裹雪剑II	白兔裹雪剑I
白兔大剑夏洛特	白兔裹雪剑II
白兔大剑夏洛特・改	白兔大剑夏洛特
白兔断雪夏洛特	白兔大剑夏洛特・改
祸大剑【封】II	祸大剑【封】I
祸大剑【幽鬼无道】	祸大剑【封】II
祸大剑【幽鬼无道】改	祸大剑【幽鬼无道】
祸名品【大幽鬼无道】	祸大剑【幽鬼无道】改
铠怨鬼大剑【怨无道】	祸名品【大幽鬼无道】
自尊of黑影・改	自尊of黑影
自尊of灭亡	自尊of黑影・改
THE启示	自尊of黑影
THE起源	THE启示
鬼金棒II	鬼金棒I
大鬼金棒	鬼金棒II
大鬼金棒・改	大鬼金棒
大鬼金棒【温罗】	大鬼金棒・改
苍风神大剑II	苍风神大剑I
神渊之风【断】	苍风神大剑II
神断・风云外天	神渊之风【断】
神源之雷【断】	鸣雷神大剑I
神断・雷祸外天	神源之雷【断】
钢龙冻大剑	钢冰大剑I
钢龙冻大剑・改	钢龙冻大剑
钢龙寒冰大剑	钢龙冻大剑・改
炎皇之刃	炎王之刃I
炎皇之刃・改	炎皇之刃
炎王灵刃	炎皇之刃・改
友邻狮尾刀	狮尾毒弯刀I
友邻狮尾刀・改	友邻狮尾刀
恐惧狮尾刀	友邻狮尾刀・改
龙天赤大剑【哈雷】	赫翼大剑I
赤绝巨翼参宿星	龙天赤大剑【哈雷】
龙之栖所II	龙之栖所I
毒断群居菌菇	龙之栖所II
毒断群居菌菇・改	毒断群居菌菇
大毒断菌菇领主	毒断群居菌菇・改
让人沉眠的贝大剑II	让人沉眠的贝大剑I
睡贝大剑珠母贝	让人沉眠的贝大剑II
睡贝大剑珠母贝・改	睡贝大剑珠母贝
梦蜃大剑蝾螺贝	睡贝大剑珠母贝・改
冷冻旗鱼II	冷冻旗鱼I
冷冻黑旗鱼大剑	冷冻旗鱼II
冷冻黑旗鱼大剑・改	冷冻黑旗鱼大剑
瞬间冷冻黑旗鱼大剑	冷冻黑旗鱼大剑・改
忍伞【吞龙】II	忍伞【吞龙】I
忍伞【屠龙】	忍伞【吞龙】II
忍伞【散龙】	忍伞【屠龙】
忍伞【散龙】改	忍伞【散龙】
猫魂II	猫魂I
猫之咒怨	猫魂II
猫之咒怨・改	猫之咒怨
众猫之王	猫之咒怨・改
王国骑士大剑信念・改	王国骑士大剑信念
百龙大剑II	百龙大剑I
百龙大剑III	百龙大剑II
百龙大剑IV	百龙大剑III
百龙大剑V	百龙大剑IV
百龙大剑【大贤虎变】	百龙大剑V
