突击冠突龙！	完成"冠突龙骚动中"
用来提味的是麻痹的那家伙	狩猎上位 毒妖鸟和发现 上位 大痹贼龙
狩猎骨锤龙	狩猎上位 毒妖鸟和发现 上位 骨锤龙
料理长的！兴奋期待交货委托	狩猎上位 毒妖鸟后与料理长对话
料理长的！心跳加速讨伐委托	完成"暴徒变得更粗暴了"和"料理长的！兴奋期待交货委托"
特殊斗技场：毒妖鸟上位篇	发现 上位 毒妖鸟和捕获 上位 毒妖鸟
特殊斗技场：土砂龙上位篇	发现 上位 毒妖鸟和捕获 上位 土砂龙
特殊斗技场：飞雷龙上位篇	完成"暴徒变得更粗暴了"和捕获 飞雷龙
特殊斗技场：蛮颚龙上位篇	完成"暴徒变得更粗暴了"和捕获 蛮颚龙
特殊斗技场：雌火龙上位篇	完成"暴徒变得更粗暴了"和捕获 雌火龙
特殊斗技场：浮空龙上位篇	完成"暴徒变得更粗暴了"和捕获 浮空龙
特殊斗技场：骨锤龙上位篇	完成"暴徒变得更粗暴了"和捕获 骨锤龙
狩猎岩贼龙	探索龙结晶之地和发现 岩贼龙
讨伐酸翼龙	探索龙结晶之地
无法阻止急速冲刺的突击龙	探索龙结晶之地
料理长的！紧张刺激击退委托	完成"料理长的！心跳加速讨伐委托"后与料理长对话
你我都是食物链	完成"神秘王国的女王"后与乐观的学者对话收集足够 ??? 痕迹 (恐暴龙)
台地的暴风雪是樱色	完成"神秘王国的女王"
狩猎樱火龙	完成"神秘王国的女王"
火与火交会者们	在龙结晶之地发现熔岩龙和爆锤龙后与武器店对话
其为苍空王者	发现 苍火龙
爆锤龙翻倒了！	发现 爆锤龙
熔岩龙	发现 熔岩龙
狩猎风漂龙	发现 上位 风漂龙
狩猎角龙	发现 上位 角龙
狩猎苍火龙	发现n 苍火龙
狩猎火龙	发现 火龙
苍红乱麻	发现 上位 火龙和雌火龙后与武器店对话
黑角龙钟爱沙地	发现 黑角龙
荒野的大大大暴动！	完成"好戏在惨爪龙之后" 发现黑角龙后后与第三期团头领对话
好戏在惨爪龙之后	完成"注意会喷火的美酒"、发现惨爪龙后与飞船工程师对话
凉爪与惨爪的交会之处	发现 风漂龙和惨爪龙
狩猎惨爪龙	在龙结晶之地发现惨爪龙
奇袭燎原爆鳞龙	完成"捕获：惨爪龙的生态调查"
特殊斗技场：樱火龙上位篇	完成"神秘王国的女王"和捕获 上位 樱火龙
特殊斗技场：风漂龙上位篇	完成"渴望的黑创"和捕获 上位 风漂龙
特殊斗技场：惨爪龙上位篇	完成"渴望的黑创"和捕获 上位 惨爪龙
特殊斗技场：苍火龙上位篇	完成"渴望的黑创"和捕获 苍火龙
特殊斗技场：角龙上位篇	完成"渴望的黑创"和捕获 角龙
特殊斗技场：黑角龙上位篇	完成"渴望的黑创"和捕获 黑角龙
特殊斗技场：爆锤龙上位篇	完成"渴望的黑创"和捕获 上位 爆锤龙
特殊斗技场：火龙上位篇	完成"渴望的黑创"和捕获 上位 火龙
炎王龙与炎妃龙	完成"潘多拉的斗技场"
搅乱妃心之风	完成"潘多拉的斗技场"
噬焰者	完成"渴望的黑创"
幻兽如是美丽	完成"苍白之蹄的旋律"后与生态研究员对话并且收集足够多 ??? 痕迹 (麒麟)
暴风之主	完成"钢铁的钢龙"
觉醒于墓标之底	完成"冥底的尸套龙"
飓风之瑕因缘不浅	完成"爆炎的炎王龙"
业火之瑕因缘不浅	完成"爆炎的炎王龙"
剎现的荒天预感	完成"钢铁的钢龙"达到最高研究等级9
狱炎的牙城	完成"爆炎的炎王龙"
热沙阳炎	完成"爆炎的炎王龙"达到最高研究等级15
来自艾欧泽亚的访客	完成"受伤的魔兽贝希摩斯"
超越爆鳞之道	HR29以上
此雷鸣是天罚？亦或是祝福？	HR49以上
在冥河中揭起灯火	完成"收束之地"后随机出现
新大陆的白风	完成上下位所有自由任务后与总司令对话
指引明路的苍蓝星	HR100以上与总司令对话
泥土与骨锤的激烈大战	HR50狩猎5种以上历战怪物后与武器店对话
在深渊之底呼唤你	完成"此雷鸣是天罚？亦或是祝福？"狩猎3种危险度3历战怪物后与武器店对话
新大陆的空与花	狩猎5种危险度2历战怪物后与武器店对话、要包含樱火龙与苍火龙
